pairs,Treatment,value
15 18,E,-1.6758179314681514
15 18,E,-1.3740510082369919
15 18,E,-1.6940293876032002
15 18,E,-1.1644522797208565
15 18,E,-1.612894590801817
15 18,E,-1.1568303392373616
15 18,E,-1.452841567810729
15 18,E,-0.9479534148788583
15 18,E,-1.4927123403081404
15 18,E,-1.958360195916928
15 18,E,-2.006626118172676
15 18,E,-1.2280507862132286
15 18,E,-1.5262426023116402
15 18,E,-1.1971436313185508
15 18,E,-1.774093027342669
15 18,E,-1.3083989250881716
15 18,E,-1.3979963898975705
15 18,E,-1.3053699735389508
15 18,E,-1.4935707063842678
15 18,E,-1.172530049224275
15 18,E,-1.4674739526798484
15 18,E,-1.2884546712252212
15 18,E,-1.439290835731648
15 18,E,-1.1428467041040395
15 18,E,-1.7644427818644912
15 18,E,-1.8001792426214314
15 18,E,-1.3108997678362788
15 18,E,-1.4276306660196685
15 18,E,-1.8284611076409905
15 18,E,-1.1707536375527465
15 18,E,-1.7300545836070615
15 18,E,-1.2887397571292243
15 18,E,-1.713121481943429
15 18,E,-1.4238599967107954
15 18,E,-1.5255027358266557
15 18,E,-1.2630404211517707
15 18,E,-1.6139957161428142
15 18,E,-0.9427533919325374
15 18,E,-1.4212495442584474
15 18,E,-1.837073984138089
15 18,E,-1.2190720273869982
15 18,E,-1.8892533194510202
15 18,E,-1.8594673782653286
15 18,E,-1.0431522362392383
15 18,E,-1.3681551536245369
15 18,E,-1.0784420071382095
15 18,E,-1.765458849706153
15 18,E,-1.1324701121365441
15 18,E,-1.4116338372457617
15 18,E,-1.0493809410387989
15 18,E,-1.1743404189703661
15 18,E,-1.177575447791548
15 18,E,-1.691526991591196
15 18,E,-0.9648476870319168
15 18,E,-1.4758180681550819
15 18,E,-1.0409389580638608
15 18,E,-1.503164991318445
15 18,E,-1.8571802439539913
15 18,E,-1.9535863425052795
15 18,E,-1.1741700126398076
15 18,E,-1.6147721347176847
15 18,E,-2.0572265110662817
15 18,E,-1.8855012154794226
15 18,E,-1.2383384598129854
15 18,E,-1.763522779259668
15 18,E,-1.125742281005057
15 18,E,-1.7514967940032038
15 18,E,-1.3883152542905355
15 18,E,-1.5070324482604556
15 18,E,-1.169904972828102
15 18,E,-1.3626892969134086
15 18,E,-1.9618682606960944
15 18,E,-1.8033511341359538
15 18,E,-1.3560551195894945
15 18,E,-1.490025429493445
15 18,E,-1.8693213774725344
15 18,E,-1.0444786500003092
15 18,E,-1.647814551930931
15 18,E,-0.9800524640555595
15 18,E,-1.5079177448042296
15 18,E,-1.1362733700353969
15 18,E,-1.4804335139310207
15 18,E,-1.8236918050604334
15 18,E,-1.1414096454271125
15 18,E,-1.468099089303567
15 18,E,-1.2067184485817635
15 18,E,-1.7645182100794565
15 18,E,-0.9637490898135612
15 18,E,-1.3036992890947845
15 18,E,-1.1042982469649303
15 18,E,-1.5881581272837209
15 18,E,-1.8005438569045666
15 18,E,-1.1094890867222327
15 18,E,-1.5771495061272511
15 18,E,-1.2869015523219494
15 18,E,-1.781178843518243
15 18,E,-1.1275509122337684
15 18,E,-1.7790845954397216
15 18,E,-1.1964932567391344
15 18,E,-1.6805428805554508
15 18,E,-1.1117155491305142
15 18,E,-1.4163242505495794
15 18,E,-1.1274135788385293
15 18,E,-1.8865527879518205
15 18,E,-1.072094525609251
15 18,E,-1.4559452740708427
15 18,E,-1.227116236815745
